location_id,Max_dn,ISP_Max_dn,Max_up,ISP_Max_up,BEAD_status,address
1289816957,,,,,unserved,34668 EVERGREEN RD GROVELAND CA
1289816998,,,,, served,35918 FOREST ROUTE 1S02 RD GROVELAND CA
1289816999,,,,, served,35250 MATHER RD BLDG 3 GROVELAND CA
1289817000,,,,,unserved,35838 FOREST ROUTE 1S02 RD GROVELAND CA
1289817001,,,,, served,35832 FOREST ROUTE 1S02 RD GROVELAND CA
1289817003,,,,, served,32416 EVERGREEN RD GROVELAND CA
1289817004,,,,, served,32416 EVERGREEN RD BLDG 3 GROVELAND CA
1289817005,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 3 GROVELAND CA
1289817006,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 2 GROVELAND CA
1289817007,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 8 GROVELAND CA
1289817008,,,,,unserved,118 FOREST ROUTE 1S32 GROVELAND CA
1289817009,,,,,unserved,35250 FOREST ROUTE 1S32 GROVELAND CA
1289817013,,,,, served,11409 JACKSONVILLE RD JAMESTOWN CA
1289817014,,,,, served,11120 GRIZZLY RD MOCCASIN CA
1289817015,,,,, served,11200 GRIZZLY RD MOCCASIN CA
1289817016,10,Verizon,1,Verizon, served,11406 JACKSONVILLE RD GROVELAND CA
1289817041,,,,, served,11450 GRIZZLY RD MOCCASIN CA
1289817043,,,,,unserved,178 MPC 3 GROVELAND CA
1289817044,,,,, served,24 MPC 3 GROVELAND CA
1289817045,,,,, served,62 MPC 3 GROVELAND CA
1289817046,10,Verizon,1,Verizon,unserved,1546 MOCCASIN CREED D RD BLDG 2 GROVELAND CA
1289817047,,,,,unserved,1546 MOCCASIN CREED D RD GROVELAND CA
1289817048,10,Verizon,1,Verizon, served,1224 MOCCASIN CREED D RD GROVELAND CA
1289817056,,,,, served,20145 PLEASANTVIEW DR GROVELAND CA
1289817057,10,AT&T,<1,AT&T, served,20070 PLEASANTVIEW DR GROVELAND CA
1289817058,10,AT&T,<1,AT&T, served,20160 PLEASANTVIEW DR GROVELAND CA
1289817059,10,AT&T,<1,AT&T, served,20245 PLEASANTVIEW DR GROVELAND CA
1289817060,25,AT&T,3,AT&T, served,19635 GOLDEN ROCK CIR GROVELAND CA
1289817061,10,AT&T,<1,AT&T, served,20090 PLEASANTVIEW DR GROVELAND CA
1289817062,10,AT&T,<1,AT&T, served,20080 PLEASANTVIEW DR GROVELAND CA
1289817063,10,AT&T,<1,AT&T, served,20239 PLEASANTVIEW DR GROVELAND CA
1289817064,10,AT&T,<1,AT&T, served,20240 PLEASANTVIEW DR GROVELAND CA
1289817065,10,AT&T,<1,AT&T, served,12801 MUELLER DR GROVELAND CA
1289817066,10,AT&T,<1,AT&T, served,12797 MUELLER DR GROVELAND CA
1289817067,10,AT&T,<1,AT&T, served,20060 PLEASANTVIEW DR GROVELAND CA
1289817068,10,AT&T,<1,AT&T, served,12821 MUELLER DR GROVELAND CA
1289817069,10,AT&T,<1,AT&T, served,19735 GOLDEN ROCK CIR GROVELAND CA
1289817070,10,AT&T,<1,AT&T, served,20120 PLEASANTVIEW DR GROVELAND CA
1289817071,25,AT&T,3,AT&T, served,20150 PLEASANTVIEW DR GROVELAND CA
1289817072,10,AT&T,<1,AT&T, served,12809 MUELLER DR GROVELAND CA
1289817073,10,AT&T,<1,AT&T, served,20100 PLEASANTVIEW DR GROVELAND CA
1289817074,10,AT&T,<1,AT&T, served,20030 PLEASANTVIEW DR GROVELAND CA
1289817075,25,AT&T,3,AT&T, served,20200 PLEASANTVIEW DR GROVELAND CA
1289817077,10,AT&T,<1,AT&T, served,20040 PLEASANTVIEW DR GROVELAND CA
1289817078,10,AT&T,<1,AT&T, served,19685 GOLDEN ROCK CIR GROVELAND CA
1289817079,10,AT&T,<1,AT&T, served,19638 GOLDEN ROCK CIR GROVELAND CA
1289817080,10,AT&T,<1,AT&T, served,19600 GOLDEN ROCK CIR GROVELAND CA
1289817081,25,AT&T,3,AT&T, served,20130 PLEASANTVIEW DR GROVELAND CA
1289817082,10,AT&T,<1,AT&T, served,20225 PLEASANTVIEW DR GROVELAND CA
1289817083,10,AT&T,<1,AT&T, served,20230 PLEASANTVIEW DR GROVELAND CA
1289817084,25,AT&T,3,AT&T, served,19655 GOLDEN ROCK CIR GROVELAND CA
1289817085,10,AT&T,<1,AT&T, served,20212 PLEASANTVIEW DR GROVELAND CA
1289817086,25,AT&T,3,AT&T, served,12819 MUELLER DR GROVELAND CA
1289817087,,,,, served,20262 PLEASANTVIEW DR GROVELAND CA
1289817088,10,AT&T,<1,AT&T, served,19665 GOLDEN ROCK CIR GROVELAND CA
1289817089,10,AT&T,<1,AT&T, served,12811 MUELLER DR GROVELAND CA
1289817090,25,AT&T,3,AT&T, served,20220 PLEASANTVIEW DR GROVELAND CA
1289817091,10,AT&T,<1,AT&T, served,20288 PLEASANTVIEW DR GROVELAND CA
1289817092,10,AT&T,<1,AT&T, served,20190 PLEASANTVIEW DR GROVELAND CA
1289817093,25,AT&T,3,AT&T, served,20142 PLEASANTVIEW DR GROVELAND CA
1289817094,25,AT&T,3,AT&T, served,20110 PLEASANTVIEW DR GROVELAND CA
1289817095,10,AT&T,<1,AT&T, served,12791 MUELLER DR GROVELAND CA
1289817096,10,AT&T,<1,AT&T, served,19625 GOLDEN ROCK CIR GROVELAND CA
1289817097,10,AT&T,<1,AT&T, served,20195 PLEASANTVIEW DR GROVELAND CA
1289817098,25,AT&T,3,AT&T, served,19660 GOLDEN ROCK CIR GROVELAND CA
1289817099,10,AT&T,<1,AT&T, served,19645 GOLDEN ROCK CIR GROVELAND CA
1289817100,10,AT&T,<1,AT&T, served,19990 PLEASANTVIEW DR GROVELAND CA
1289817101,10,AT&T,<1,AT&T, served,12813 MUELLER DR GROVELAND CA
1289817102,10,AT&T,<1,AT&T, served,12803 MUELLER DR GROVELAND CA
1289817103,25,AT&T,3,AT&T, served,20180 PLEASANTVIEW DR GROVELAND CA
1289817104,10,AT&T,<1,AT&T, served,19675 GOLDEN ROCK CIR GROVELAND CA
1289817105,10,AT&T,<1,AT&T, served,12799 MUELLER DR GROVELAND CA
1289817106,10,AT&T,<1,AT&T, served,20020 PLEASANTVIEW DR GROVELAND CA
1289817107,10,AT&T,<1,AT&T, served,20170 PLEASANTVIEW DR GROVELAND CA
1289817108,10,AT&T,<1,AT&T, served,20010 PLEASANTVIEW DR GROVELAND CA
1289817109,10,AT&T,<1,AT&T, served,20270 PLEASANTVIEW DR GROVELAND CA
1289817110,10,AT&T,<1,AT&T, served,19680 GOLDEN ROCK CIR GROVELAND CA
1289817111,10,AT&T,<1,AT&T, served,20115 PLEASANTVIEW DR GROVELAND CA
1289817112,10,AT&T,<1,AT&T, served,12815 MUELLER DR GROVELAND CA
1289817113,10,AT&T,<1,AT&T, served,12807 MUELLER DR GROVELAND CA
1289817114,10,AT&T,<1,AT&T, served,19670 GOLDEN ROCK CIR GROVELAND CA
1289817115,25,AT&T,3,AT&T, served,12823 MUELLER DR GROVELAND CA
1289817116,25,AT&T,3,AT&T, served,19620 GOLDEN ROCK CIR GROVELAND CA
1289817117,10,AT&T,<1,AT&T, served,20125 PLEASANTVIEW DR GROVELAND CA
1289817118,25,AT&T,3,AT&T, served,20075 PLEASANTVIEW DR GROVELAND CA
1289817119,10,AT&T,<1,AT&T, served,20250 PLEASANTVIEW DR GROVELAND CA
1289817120,10,AT&T,<1,AT&T, served,20085 PLEASANTVIEW DR GROVELAND CA
1289817121,25,AT&T,3,AT&T, served,20135 PLEASANTVIEW DR GROVELAND CA
1289817122,10,AT&T,<1,AT&T, served,20059 PLEASANTVIEW DR GROVELAND CA
1289817129,10,AT&T,<1,AT&T, served,20275 PLEASANTVIEW DR GROVELAND CA
1289817130,,,,, served,13126 MOEKLUMNES CIR GROVELAND CA
1289817131,10,AT&T,<1,AT&T, served,12998 WELLS FARGO DR GROVELAND CA
1289817132,,,,, served,19563 COTTONWOOD ST GROVELAND CA
1289817133,10,AT&T,<1,AT&T, served,13011 MOEKLUMNES CIR GROVELAND CA
1289817134,,,,, served,13194 WELLS FARGO DR GROVELAND CA
1289817135,,,,, served,13106 MOEKLUMNES CIR GROVELAND CA
1289817136,10,AT&T,<1,AT&T, served,13090 WELLS FARGO DR GROVELAND CA
1289817137,,,,, served,13220 WELLS FARGO DR GROVELAND CA
1289817138,10,AT&T,<1,AT&T, served,13066 MOEKLUMNES CIR GROVELAND CA
1289817139,,,,, served,19313 JAMES CIR GROVELAND CA
1289817140,10,AT&T,<1,AT&T, served,12967 WELLS FARGO DR GROVELAND CA
1289817141,,,,, served,19413 FERRETTI RD GROVELAND CA
1289817142,,,,, served,13225 WELLS FARGO DR GROVELAND CA
1289817143,,,,, served,13175 WELLS FARGO DR GROVELAND CA
1289817144,25,AT&T,3,AT&T, served,12836 MUELLER DR GROVELAND CA
1289817145,,,,, served,13150 WELLS FARGO DR GROVELAND CA
1289817146,,,,, served,19555 COTTONWOOD ST GROVELAND CA
1289817147,10,AT&T,<1,AT&T, served,13047 WELLS FARGO DR GROVELAND CA
1289817148,10,AT&T,1,AT&T, served,19411 FERRETTI RD GROVELAND CA
1289817149,,,,, served,19307 JAMES CIR GROVELAND CA
1289817150,10,AT&T,<1,AT&T, served,12999 WELLS FARGO DR GROVELAND CA
1289817151,,,,, served,13154 WELLS FARGO DR GROVELAND CA
1289817152,,,,, served,12980 WELLS FARGO DR GROVELAND CA
1289817153,10,AT&T,<1,AT&T, served,13006 MOEKLUMNES CIR GROVELAND CA
1289817154,,,,, served,19323 JAMES CIR GROVELAND CA
1289817155,10,AT&T,<1,AT&T, served,20265 PLEASANTVIEW DR GROVELAND CA
1289817156,,,,, served,12992 WELLS FARGO DR GROVELAND CA
1289817157,,,,, served,19427 FERRETTI RD GROVELAND CA
1289817158,,,,, served,19430 FERRETTI RD GROVELAND CA
1289817159,,,,, served,13069 WELLS FARGO DR GROVELAND CA
1289817161,,,,, served,19420 FERRETTI RD GROVELAND CA
1289817162,,,,, served,19445 FERRETTI RD GROVELAND CA
1289817163,,,,, served,13217 WELLS FARGO DR GROVELAND CA
1289817164,,,,, served,13209 WELLS FARGO DR GROVELAND CA
1289817165,10,AT&T,<1,AT&T, served,13077 WELLS FARGO DR GROVELAND CA
1289817166,,,,, served,19559 COTTONWOOD ST GROVELAND CA
1289817167,10,AT&T,<1,AT&T, served,12831 MUELLER DR GROVELAND CA
1289817168,10,AT&T,<1,AT&T, served,12824 MUELLER DR GROVELAND CA
1289817169,10,AT&T,<1,AT&T, served,12838 MUELLER DR GROVELAND CA
1289817170,10,AT&T,<1,AT&T, served,13030 WELLS FARGO DR GROVELAND CA
1289817171,,,,, served,13060 WELLS FARGO DR GROVELAND CA
1289817172,,,,, served,12985 WELLS FARGO DR GROVELAND CA
1289817173,10,AT&T,<1,AT&T, served,12993 WELLS FARGO DR GROVELAND CA
1289817174,,,,, served,13191 WELLS FARGO DR GROVELAND CA
1289817175,,,,, served,13145 WELLS FARGO DR GROVELAND CA
1289817176,,,,, served,19419 FERRETTI RD GROVELAND CA
1289817177,10,AT&T,<1,AT&T, served,12828 MUELLER DR GROVELAND CA
1289817178,,,,, served,13050 WELLS FARGO DR GROVELAND CA
1289817179,,,,, served,13181 WELLS FARGO DR GROVELAND CA
1289817180,10,AT&T,<1,AT&T, served,13080 WELLS FARGO DR GROVELAND CA
1289817181,10,AT&T,<1,AT&T, served,13087 WELLS FARGO DR GROVELAND CA
